C:\Cambridge\Election2019\School\3 Final\School Transfer Report


*** COUNT 2 ***

   000903-00-00280000221086:  Bowman, Manikka L. --> Wilson, Ayesha
   000903-00-00280000269007:  Bowman, Manikka L. --> Fantini, Alfred B.
   000903-00-00280000379689:  Bowman, Manikka L. --> Kadete, Elechi M.
   000903-00-00280000603579:  Bowman, Manikka L. --> Dawson, Bernette J.
   000903-00-00280000688907:  Bowman, Manikka L. --> Fantini, Alfred B.
   000903-00-00280000845829:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000903-00-00280000908826:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000903-00-00630000950108:  Bowman, Manikka L. --> Fantini, Alfred B.
   000303-00-00100000116859:  Bowman, Manikka L. --> Fantini, Alfred B.
   000303-00-00100000176437:  Bowman, Manikka L. --> Kadete, Elechi M.
   000303-00-00100000276992:  Bowman, Manikka L. --> Wilson, Ayesha
   000303-00-00100000368491:  Bowman, Manikka L. --> Fantini, Alfred B.
   000303-00-00100000443385:  Bowman, Manikka L. --> Lim, Christopher
   000303-00-00100000636324:  Bowman, Manikka L. --> Wilson, Ayesha
   000303-00-00100000751012:  Bowman, Manikka L. --> Wilson, Ayesha
   000303-00-00100000915225:  Bowman, Manikka L. --> Fantini, Alfred B.
   000601-00-00170000076519:  Bowman, Manikka L. --> Fantini, Alfred B.
   000601-00-00170000119992:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000601-00-00170000246361:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000601-00-00170000457243:  Bowman, Manikka L. --> Weinstein, David J.
   000601-00-00170000519302:  Bowman, Manikka L. --> Fantini, Alfred B.
   000601-00-00170000592435:  Bowman, Manikka L. --> Fantini, Alfred B.
   000601-00-00170000653814:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000601-00-00170000755439:  Bowman, Manikka L. --> Wilson, Ayesha
   000601-00-00170000848411:  Bowman, Manikka L. --> Weinstein, David J.
   000601-00-00530000274994:  Bowman, Manikka L. --> Lim, Christopher
   003021-00-00090000005378:  Bowman, Manikka L. --> Dawson, Bernette J.
   003021-00-00090000142717:  Bowman, Manikka L. --> Dawson, Bernette J.
   003021-00-00090000354557:  Bowman, Manikka L. --> Fantini, Alfred B.
   003021-00-00090000518346:  Bowman, Manikka L. --> Fantini, Alfred B.
   003021-00-00090000859162:  Bowman, Manikka L. --> Fantini, Alfred B.
   000401-00-00110000097818:  Bowman, Manikka L. --> Kadete, Elechi M.
   000401-00-00110000201458:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000401-00-00110000292583:  Bowman, Manikka L. --> Wilson, Ayesha
   000401-00-00110000402481:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000401-00-00110000456458:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000401-00-00110000510689:  Bowman, Manikka L. --> Wilson, Ayesha
   000401-00-00110000570188:  Bowman, Manikka L. --> Wilson, Ayesha
   000401-00-00110000618937:  Bowman, Manikka L. --> Fantini, Alfred B.
   000401-00-00110000691430:  Bowman, Manikka L. --> Wilson, Ayesha
   000401-00-00110000742971:  Bowman, Manikka L. --> Wilson, Ayesha
   000401-00-00110000781537:  Bowman, Manikka L. --> Kadete, Elechi M.
   000401-00-00110000848516:  Bowman, Manikka L. --> Wilson, Ayesha
   000401-00-00110000977337:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000301-00-00070000061729:  Bowman, Manikka L. --> Fantini, Alfred B.
   000301-00-00070000140895:  Bowman, Manikka L. --> Fantini, Alfred B.
   000301-00-00070000232168:  Bowman, Manikka L. --> Fantini, Alfred B.
