# Final piles of ballots, sorted by candidate.
# Created Friday, November 15, 2019 6:09 PM


# This file can be used for auditing, or for filling mid-term vacancies
# in Cambridge.  To fill a vacancy, edit the line below that says,
# "# CAMBRIDGE-VACANCY-RECOUNT candidate-code".  Remove the '#', so
# that ChoicePlusr will process the line, and replace "candidate-code"
# with the candidate code for whom the ballots are to be recounted.
# Be sure to rename the file when saving it!  E.g. to "<Your Election
# Title> Recount Input.txt".



# The following lines are the configuration lines necessary for a Cambridge
# style recount.
.COMPLY-WITH CAMBRIDGE
.ELECT 1


# The Candidates:
.CANDIDATE C01, "Allen, Ruth Ryan"
.CANDIDATE C02, "Bowman, Manikka L."
.CANDIDATE C03, "Dawson, Bernette J."
.CANDIDATE C04, "Dexter, Emily"
.CANDIDATE C05, "Fantini, Alfred B."
.CANDIDATE C06, "Kadete, Elechi M."
.CANDIDATE C07, "Lim, Christopher"
.CANDIDATE C08, "Rojas Villarreal, Jose Luis"
.CANDIDATE C09, "Weinstein, David J."
.CANDIDATE C10, "Weinstein, Rachel B."
.CANDIDATE C11, "Wilson, Ayesha"
.CANDIDATE WI01, "Write-In 01"
.CANDIDATE WI02, "Write-In 02"
.CANDIDATE WI03, "Write-In 03"
.CANDIDATE WI04, "Write-In 04"
.CANDIDATE WI05, "Write-In 05"
.CANDIDATE WI06, "Write-In 06"

# The following lines exclude those candidates who
# were elected or excluded in the original election
# from participating in a future runoff.
.EXCLUDE-CANDIDATE C02
.EXCLUDE-CANDIDATE C04
.EXCLUDE-CANDIDATE C05
.EXCLUDE-CANDIDATE C08
.EXCLUDE-CANDIDATE C10
.EXCLUDE-CANDIDATE C11

# ******* The following line must be edited for a Cambridge recount! *******
#.CAMBRIDGE-VACANCY-RECOUNT candidate-code

# Suppose that Joe Smith resigned mid-term, and Karen Jones was elected
# to fill that seat.  But then Karen Jones also resigned!  You can rerun
# the same recount, but specify that Karen Jones is excluded.
#.EXCLUDE-CANDIDATE candidate-code

# This specifies the format for the ballots
.BALLOT-FORMAT-FIELDS BALLOT-ID-ALPHA BALLOT-VALUE RANKINGS-ALPHA

# Ballots for candidate C01 ("Allen, Ruth Ryan")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C02 ("Bowman, Manikka L.")
# Candidate has 2,776 ballots in his/her pile.
.FINAL-PILE C02
000201-00-00040000995469, 1) C02,C05,C08,C07
000602-00-00180000023402, 1) C02,C10,C04,C05,C11
000602-00-00180000026041, 1) C02,C05,C04,C08,C09,C10,C01
000602-00-00180000040445, 1) C02,C05,C10
000602-00-00180000049416, 1) C02,C04,C05,C01
000602-00-00180000064149, 1) C02,C05,C04
000602-00-00180000066813, 1) C02,C04,C05,C08,C07
000602-00-00180000071447, 1) C02,C04,C05
000602-00-00180000121632, 1) C02,C04,C09,C05,C10,C01
000602-00-00180000133471, 1) C02,C11,C04,C05,C07,C10
000602-00-00180000139605, 1) C02,C11,C04,C09,C08
000602-00-00180000141695, 1) C02,C05,C09,C11
000602-00-00180000143021, 1) C02,C04,C05
000602-00-00180000145646, 1) C02,C04,C06,C01,C08
000602-00-00180000156759, 1) C02,C04,C05
000602-00-00180000198102, 1) C02,C04,C05
000602-00-00180000199542, 1) C02,C10,C06,C08
000602-00-00180000236739, 1) C02
000602-00-00180000240693, 1) C02,C06,C03,C04,C11,C10,C07
000602-00-00180000252947, 1) C02,C11,C06,C08,C07,C01,C03,C04,C10,C09,C05
000602-00-00180000253336, 1) C02,C11,C07,C06
000602-00-00180000256428, 1) C02,C05,C10,C07,C04,C09
000602-00-00180000269213, 1) C02,C11,C04,C10,C08,C07
000602-00-00180000297086, 1) C02,C11,C05
000602-00-00180000311388, 1) C02,C05,C07
000602-00-00180000315339, 1) C02,C03,C04,C10,C09,C11
000602-00-00180000319991, 1) C02,C05,C06,C04
000602-00-00180000324400, 1) C02,C09,C04,C10,C07,C03,C01,C08
000602-00-00180000349735, 1) C02,C04,C11
000602-00-00180000354058, 1) C02,C04,C05,C03,C10,C11,C01,C09,C08,C07,C06
000602-00-00180000381065, 1) C02,C04,C03,C05,C10,C11,C01,C06,C07,C08,C09
000602-00-00180000383647, 1) C02,C04,C11,C01,C07,C08,C03
000602-00-00180000397310, 1) C02,C04,C05
000602-00-00180000416612, 1) C02,C04,C05,C11
000602-00-00180000418158, 1) C02,C11,C10,C09,C08
000602-00-00180000445165, 1) C02,C04,C05,C10
000602-00-00180000446648, 1) C02,C04,C05
000602-00-00180000475989, 1) C02
000602-00-00180000495693, 1) C02,C09,C11,C08,C03,C06
000602-00-00180000501428, 1) C02
000602-00-00180000503848, 1) C02,C04,C01,C11,C10
000602-00-00180000508316, 1) C02,C04,C11
000602-00-00180000516537, 1) C02,C03,C04,C10,C09,C11,C08,C05,C07,C06,C01
000602-00-00180000518102, 1) C02,C04
000602-00-00180000519621, 1) C02,C04,C05
000602-00-00180000551750, 1) C02,C11,C03,C04
000602-00-00180000564688, 1) C02,C04,C03,C01,C11,C10,C06,C05,C07,C08
000602-00-00180000565535, 1) C02,C10,C06,C08,C01
000602-00-00180000574838, 1) C02,C07,C04
000602-00-00180000586411, 1) C02,C04,C05,C10,C08
000602-00-00180000587440, 1) C02,C04,C05,C11,C07
000602-00-00180000588228, 1) C02,C04,C03,C05
000602-00-00180000642877, 1) C02,C04,C05
000602-00-00180000644708, 1) C02,C04,C05,C10,C08,C03
000602-00-00180000658521, 1) C02,C03,C10
000602-00-00180000665386, 1) C02,C04,C11,C10
000602-00-00180000683162, 1) C02
000602-00-00180000684988, 1) C02,C04
000602-00-00180000695323, 1) C02,C04,C05,C08,C07,C06,C03,C01,C11,C09,C10
000602-00-00180000703959, 1) C02,C11,C08
000602-00-00180000714875, 1) C02,C04,C05,C11,C01,C10,C09,C06,C07,C08,C03
000602-00-00180000715815, 1) C02,C11
000602-00-00180000719436, 1) C02,C04,C05,C08,C10,C03,C01,C11,C06,C07
000602-00-00180000722869, 1) C02,C04,C05,C09,C11,C07
000602-00-00180000726092, 1) C02,C08,C07,C09,C10,C11,C01,C03,C05,C04,C06
000602-00-00180000738198, 1) C02,C04,C05,C10,C11,C07
000602-00-00180000814511, 1) C02,C04,C05,C11,C10,C03,C09,C08,C07,C01,C06
000602-00-00180000817748, 1) C02,C04
000602-00-00180000833650, 1) C02
000602-00-00180000834233, 1) C02,C04,C03
000602-00-00180000838224, 1) C02,C05,C08
000602-00-00180000875114, 1) C02,C07
000602-00-00180000878091, 1) C02,C10,C06,C08
000602-00-00180000898185, 1) C02
000602-00-00180000901853, 1) C02,C09,C04,C11,C10,C05,C07
000602-00-00180000912321, 1) C02,C05,C04,C10,C06
000602-00-00180000919995, 1) C02,C04,C07,C08
000602-00-00180000926826, 1) C02,C04,C09,C05,C11,C10
000602-00-00180000939196, 1) C02,C07,C10
000602-00-00180000941490, 1) C02,C11,C04,C06
000602-00-00180000971724, 1) C02
000602-00-00180000975281, 1) C02,C04,C11,C03,C01,C10,C06,C08
000602-00-00180000977657, 1) C02,C04,C11
000602-00-00180000980808, 1) C02,C03,C04,C05,C07
000602-00-00180000992849, 1) C02,C03,C04,C10,C09,C11
000602-00-00180000999429, 1) C02,C03,C07,C06,C04,C11,C01,C10
000602-00-00520000093027, 1) C02
000602-00-00520000979820, 1) C02,C10,C05
000901-00-00260000046874, 1) C02,C03,C06,C08,C11
000901-00-00260000088021, 1) C02,C04,C09
000901-00-00260000089594, 1) C02,C04,C05
000901-00-00260000116534, 1) C02,C10,C09,C03,C04
000901-00-00260000134319, 1) C02,C04,C07,C09,C08,C03
000901-00-00260000138348, 1) C02,C10,C04,C01
000901-00-00260000199188, 1) C02,C04,C05
000901-00-00260000218624, 1) C02,C04,C05,C10
000901-00-00260000219245, 1) C02
000901-00-00260000227717, 1) C02,C04,C09,C10,C11
000901-00-00260000239346, 1) C02,C11,C04,C05,C06,C08,C07,C09,C10,C03,C01
000901-00-00260000248958, 1) C02,C04,C07
000901-00-00260000279900, 1) C02,C03,C04,C05,C08
000901-00-00260000309511, 1) C02,C04,C05,C07,C08,C09,C10
000901-00-00260000339885, 1) C02,C09,C07,C04,C05,C06,C08,C10,C01,C11
000901-00-00260000381575, 1) C02,C04,C05,C11,C07,C08
000901-00-00260000382904, 1) C02,C04,C05,C07,C08,C10,C09
000901-00-00260000387165, 1) C02,C10,C05
000901-00-00260000393702, 1) C02,C04,C08,C10
000901-00-00260000415536, 1) C02,C10
000901-00-00260000502200, 1) C02,C10
000901-00-00260000508753, 1) C02,C11,C10
000901-00-00260000510055, 1) C02,C04,C07,C09,C08,C03
000901-00-00260000558481, 1) C02,C04,C05
000901-00-00260000570671, 1) C02,C04,C05,C10,C09
000901-00-00260000591057, 1) C02,C04,C05
000901-00-00260000594101, 1) C02
000901-00-00260000683672, 1) C02,C10,C04
000901-00-00260000687697, 1) C02,C04,C05,C11,C10,C08
000901-00-00260000716252, 1) C02,C04,C05
000901-00-00260000718423, 1) C02,C10,C05
000901-00-00260000791977, 1) C02,C04,C05,C10,C08
000901-00-00260000816522, 1) C02,C11,C10
000901-00-00260000822798, 1) C02,C11
000901-00-00260000830733, 1) C02,C10,C11,C04,C03,C06
000901-00-00260000850434, 1) C02,C11,C10,C09,C01,C08
000901-00-00260000871673, 1) C02,C04
000901-00-00260000880461, 1) C02,C10,C11,C03,C08,C05
000901-00-00260000891696, 1) C02,C04,C10,C09,C06,C11
000901-00-00260000957181, 1) C02,C04,C07,C08,C09,C05
000901-00-00620000457938, 1) C02,C04,C07,C08
000901-00-00620000628131, 1) C02,C05,C09,C11
000901-00-00620000846625, 1) C02,C03
000901-00-09120000005225, 1) C02,C11,C03,C01,C06,C08
000901-00-09120000021685, 1) C02,C05,C04,C07,C09,C10,C11,C01,C06,C08,C03
